"query","search interest","increase percent"
"số tử vi",100,"20%"
"lá tử vi",90,"20%"
"lá số tử vi",87,"20%"
"tử vi lá số",79,"9%"
"tử vi 2026",70,"-30%"
"tử vi tuổi",45,"-30%"
"xem tử vi",43,"-1%"
"tử vi năm 2026",42,"-30%"
"tử vi ngày",31,"7%"
"sao tử vi",14,"-30%"
"lập lá tử vi",13,"20%"
"lập lá số tử vi",13,"30%"
"tử vi là gì",11,"2%"
"lá số tử vi 2026",11,"-1%"
"xem tử vi 2026",10,"-40%"
"tử vi hôm nay",9,"30%"
"tử vi trọn đời",8,"-1%"
"tử vi 12 con giáp",7,"10%"
"tử vi hàng ngày",6,"10%"
"xem tử vi năm 2026",6,"-40%"
"xem lá số tử vi",6,"-3%"
"tử vi việt nam",5,"20%"
"lá số tử vi năm",4,"20%"
"coi tử vi",4,"-20%"
"tử vi online",4,"20%"
"lấy lá số tử vi",3,"40%"
"ai tử vi",3,"20%"
"tử vi ai",3,"20%"
"tu vi",3,"-7%"
"tử vi số mệnh",3,"4%"
"bói tử vi",3,"-4%"
"sách tử vi",3,"20%"
"tử vi cổ học",3,"10%"
"tử vi ngày hôm nay",3,"20%"
"tra cứu tử vi",3,"2%"
"lá số tử vi trọn đời",3,"20%"
"tử vi ngày mai",3,"20%"
"thái âm tử vi",2,"-30%"
"cách xem tử vi",2,"0%"
"tử vi cung hoàng đạo",2,"40%"
"luận giải tử vi",2,"-8%"
"tử vi chân cơ",2,"9%"
"tử vi tuần mới",2,"20%"
"la số tử vi",2,"-7%"
"xem tử vi trọn đời",2,"-10%"
"lá số tử vi việt nam",2,"20%"
"xem bói tử vi",2,"-10%"
"tử vi 12 cung hoàng đạo",2,"40%"
"lập lá số tử vi 2026",2,"10%"
"tử vi 365",1,"8%"